"id","match_num","team","rst","side","gtime","gold","tot_dam","kill","death","assist","tower","inhibitor","herald","dragon","elder","baron","sight","total_cs","set"
1101,"17460",NS,Defeat,Blue Side,"31:12",50097,23245,4,10,7,4,0,0,2,0,0,62,1046,2
1102,"17460",DRX,Victory,Red Side,"31:12",57067,38811,10,4,19,7,1,2,3,0,1,49,1128,2
1103,"17461",T1,Victory,Blue Side,"35:03",67146,64293,16,15,30,9,1,2,2,0,0,61,1227,1
1104,"17461",KT,Defeat,Red Side,"35:03",63145,55608,15,16,30,4,0,0,2,0,1,61,1146,1
1105,"17461",KT,Defeat,Blue Side,"34:12",61108,78953,17,17,44,4,0,2,2,0,0,64,1120,2
1106,"17461",T1,Victory,Red Side,"34:12",65082,77072,17,17,36,10,1,0,3,0,1,45,1120,2
1107,"17462",LSB,Defeat,Blue Side,"30:46",47690,71240,5,29,11,3,0,1,1,0,0,43,947,1
1108,"17462",DRX,Victory,Red Side,"30:46",63357,92050,29,5,63,10,3,1,3,0,2,40,1016,1
1109,"17462",LSB,Defeat,Blue Side,"29:58",45032,31552,5,14,10,0,0,0,1,0,0,34,922,2
1110,"17462",DRX,Victory,Red Side,"29:58",58403,57513,14,5,32,9,1,2,3,0,1,30,1043,2
1111,"17463",BRO,Victory,Blue Side,"43:47",83859,58359,12,15,35,10,1,1,1,0,3,73,1608,1
1112,"17463",NS,Defeat,Red Side,"43:47",74902,60192,15,12,37,5,1,1,5,1,0,85,1388,1
1113,"17463",NS,Victory,Blue Side,"41:25",76406,86094,11,11,31,11,3,1,2,1,2,59,1382,2
1114,"17463",BRO,Defeat,Red Side,"41:25",67399,62033,11,11,30,4,0,1,4,0,0,73,1321,2
1115,"17463",BRO,Victory,Blue Side,"38:35",74473,72564,20,12,49,9,1,2,4,0,1,62,1323,3
1116,"17463",NS,Defeat,Red Side,"38:35",60722,61044,12,20,32,3,0,0,1,0,0,71,1182,3
1117,"17464",GEN,Defeat,Blue Side,"35:12",57004,56797,6,17,12,3,0,0,3,0,0,47,1207,1
1118,"17464",KDF,Victory,Red Side,"35:12",66286,69599,17,6,37,10,2,2,3,0,1,68,1186,1
1119,"17464",KDF,Defeat,Blue Side,"36:43",61138,59297,10,17,17,4,0,1,3,0,1,65,1199,2
1120,"17464",GEN,Victory,Red Side,"36:43",68616,68935,17,10,34,8,1,1,3,0,0,49,1307,2
1121,"17464",GEN,Victory,Blue Side,"33:04",65265,54080,13,5,35,10,1,1,4,0,1,56,1269,3
1122,"17464",KDF,Defeat,Red Side,"33:04",54995,36891,5,13,17,2,0,1,1,0,0,54,1160,3
1123,"17465",DK,Victory,Blue Side,"47:48",83517,131793,12,11,30,10,2,1,4,0,2,56,1492,1
1124,"17465",HLE,Defeat,Red Side,"47:48",81598,93518,11,12,24,5,0,1,3,1,1,68,1511,1
1125,"17465",HLE,Defeat,Blue Side,"34:29",54687,52348,6,14,14,1,0,0,3,0,0,49,1145,2
1126,"17465",DK,Victory,Red Side,"34:29",62462,60456,14,6,29,8,1,2,2,0,1,53,1160,2
1127,"17466",DRX,Victory,Blue Side,"41:38",77197,106963,23,16,47,9,2,1,4,0,1,62,1325,1
1128,"17466",KT,Defeat,Red Side,"41:38",75093,96521,16,23,34,6,0,1,3,0,1,70,1353,1
1129,"17466",DRX,Victory,Blue Side,"28:21",59151,59751,19,11,41,11,3,2,3,0,1,42,1000,2
1130,"17466",KT,Defeat,Red Side,"28:21",47466,54549,11,19,29,3,0,0,1,0,0,52,881,2
1131,"17467",NS,Defeat,Blue Side,"29:22",45974,44900,6,24,13,1,0,1,0,0,0,47,952,1
1132,"17467",KDF,Victory,Red Side,"29:22",59504,71514,24,6,53,11,1,1,4,0,1,48,974,1
1133,"17467",KDF,Victory,Blue Side,"40:46",73635,64737,17,10,45,10,2,2,3,0,0,79,1387,2
1134,"17467",NS,Defeat,Red Side,"40:46",68488,70297,10,17,24,4,0,0,2,0,1,57,1319,2
1135,"17468",GEN,Defeat,Blue Side,"32:04",51840,46976,6,20,10,3,0,0,2,0,0,49,1058,1
1136,"17468",T1,Victory,Red Side,"32:04",63687,71697,20,6,46,10,2,2,2,0,1,40,1087,1
1137,"17468",GEN,Defeat,Blue Side,"35:54",59195,65005,9,15,10,4,0,0,4,0,0,50,1147,2
1138,"17468",T1,Victory,Red Side,"35:54",66592,87474,15,9,33,11,4,2,1,0,2,46,1099,2
1139,"17469",DK,Victory,Blue Side,"28:45",55126,61819,14,1,34,11,3,1,3,0,1,43,933,1
1140,"17469",LSB,Defeat,Red Side,"28:45",46844,47643,1,14,2,4,1,1,1,0,0,27,1008,1
1141,"17469",LSB,Defeat,Blue Side,"25:58",39946,31762,2,22,5,3,0,1,0,0,0,26,824,2
1142,"17469",DK,Victory,Red Side,"25:58",53986,58270,22,2,62,11,3,1,4,0,1,30,886,2
1143,"17470",BRO,Victory,Blue Side,"34:56",66073,55162,7,5,18,11,3,1,4,0,2,67,1286,1
1144,"17470",HLE,Defeat,Red Side,"34:56",55625,61007,5,7,13,3,0,1,1,0,0,53,1164,1
1145,"17470",HLE,Victory,Blue Side,"29:16",56100,63419,17,6,33,8,1,2,1,0,1,47,960,2
1146,"17470",BRO,Defeat,Red Side,"29:16",45969,46143,6,17,11,2,0,0,3,0,0,50,944,2
1147,"17470",BRO,Victory,Blue Side,"35:30",64940,69882,13,12,37,7,1,1,3,0,0,51,1225,3
1148,"17470",HLE,Defeat,Red Side,"35:30",62671,57438,12,13,26,6,0,1,2,0,1,64,1139,3
